,T,coup_str,h,theta_ar,theta_xe
0,150,1,0.0,180.0,180.0
1,150,10,0.0,179.99999573113178,179.99999460026135
2,150,15,0.0,179.99998957836453,179.9999772986099
3,150,1,0.2,162.75981233537578,140.59993323799546
4,150,10,0.2,162.17553118960092,133.21700312449042
5,150,15,0.2,161.25507825039358,116.70002678200048
6,150,1,0.4,145.02148522477881,110.30836515885161
7,150,10,0.4,143.94670212519205,103.17489155811555
8,150,15,0.4,142.29939292523267,91.4648260680663
9,150,1,0.6,126.20025702475806,87.21989823664376
10,150,10,0.6,124.81836812094231,82.25128543239158
11,150,15,0.6,122.78521144233693,75.12604413159656
12,150,1,0.8,105.5063208546257,67.66131977010782
13,150,10,0.8,104.07899995377133,64.66772918666761
14,150,15,0.8,102.07751020863509,60.65420761927281
15,150,1,1.0,81.74803407724012,49.26913678960868
16,150,10,1.0,80.5850093094114,47.75719199981061
17,150,15,1.0,79.02984791917446,45.80215220958912
18,150,1,1.2,52.98452776777534,30.328547664511188
19,150,10,1.2,52.3553407130618,29.791330875012132
20,150,15,1.2,51.545064338355004,29.10900889811456
21,100,1,0.0,180.0,180.0
22,100,10,0.0,179.99999548225452,179.9999934978536
23,100,15,0.0,179.99998841885082,179.99994433422015
24,100,1,0.2,163.56322491104157,142.22275849202862
25,100,10,0.2,162.85264199148037,132.26682772889242
26,100,15,0.2,161.57215683566181,101.97910368099733
27,100,1,0.4,146.7039135931701,112.73725001085849
28,100,10,0.4,145.38312738257335,103.04261897050071
29,100,15,0.4,143.09962849214168,84.49017094674174
30,100,1,0.6,128.93529927113119,90.1691090767851
31,100,10,0.6,127.20034763816687,83.23694327127855
32,100,15,0.6,124.37721882073454,72.29251272622587
33,100,1,0.8,109.62217663760956,71.21614351027378
34,100,10,0.8,107.75447268538365,66.82700008419948
35,100,15,0.8,104.92202590417554,60.566851364337666
36,100,1,1.0,87.84976503287564,53.69239210289433
37,100,10,1.0,86.19417242406577,51.25805392057002
38,100,15,1.0,83.8549396207291,47.99146927977047
39,100,1,1.2,62.20909052672351,36.11069727316873
40,100,10,1.2,61.114277618246646,35.05032455824005
41,100,15,1.2,59.65914327194805,33.67884678067586
